Student_ID,Name,Age,Gender,Marks,City
1,,24,F,80,
2,Sneha,22,M,70,Delhi
3,Arjun,24,M,,Delhi
4,,20,M,,Delhi
5,Ravi,21,M,75,Chennai
6,Arjun,23,,75,
7,Arjun,20,M,85,Delhi
8,,23,M,90,Bangalore
9,Priya,,M,80,Kolkata
10,Ravi,21,,,Delhi
11,,21,M,,Chennai
12,Ravi,20,M,70,
13,Ravi,21,,85,Chennai
14,Arjun,24,,90,Delhi
15,Sneha,21,,85,
16,Ravi,23,M,95,Kolkata
17,Meera,23,,90,Delhi
18,Arjun,23,,,Chennai
19,Priya,23,M,,Mumbai
20,Sneha,24,,90,Bangalore
21,Meera,22,M,,Chennai
22,Meera,,F,80,
23,Priya,20,,90,Delhi
24,Sneha,23,F,85,Bangalore
25,Arjun,21,M,90,Delhi
26,Amit,23,,,
27,Sneha,21,M,80,Delhi
28,Priya,,F,80,Mumbai
29,Meera,,M,95,Bangalore
30,Arjun,,,85,Bangalore
31,Sneha,21,,75,
32,Amit,23,F,75,Mumbai
33,Amit,,M,90,Chennai
34,Ravi,24,,95,Delhi
35,Ravi,21,F,70,Kolkata
36,,21,,90,Delhi
37,Priya,23,,95,Delhi
38,Sneha,21,M,85,Chennai
39,Sneha,21,,85,Delhi
40,,,M,85,Mumbai
41,Meera,23,,85,Mumbai
42,Meera,,F,85,Bangalore
43,,,,95,
44,Meera,23,M,95,Kolkata
45,Ravi,20,M,80,Delhi
46,Sneha,,F,75,Delhi
47,,24,,,Chennai
48,Sneha,24,,85,
49,Amit,21,F,70,Mumbai
50,Ravi,24,,,Kolkata
